Description,Flexural_Modulus,Flex_Yield_Strength
Black_200C,2.1756864695441416,0.0343571197887246
Blue_200C,2.0502658149630997,0.0297905670206094
Green_200C,2.0726610837679234,0.0314056049157431
Purple_200C,2.1166493962050486,0.0298497382188161
Red_200C,2.2367572195393417,0.0348733283791501
Black_215C,2.205987934760385,0.041027379854717
Blue_215C,2.1107832204833032,0.0372353904916123
Green_215C,2.0867077088248376,0.0367632855023043
Purple_215C,2.153194159666691,0.038818086521173
Red_215C,2.2602864324656537,0.0417531891270773
Black_230C,2.292998510166468,0.0428637285218331
Blue_230C,2.1074809974812894,0.0376425187182577
Green_230C,2.1393265771398844,0.0366884444134681
Purple_230C,2.1956512102298924,0.040979825220033
Red_230C,2.3181163365093282,0.0422760333985325
